ensembl.gene.id	X0610	X0687	X1809	X1812	X1938	X1941
USP5	2573	2192	1891	2654	2573	2192
TPI1	8193	10756	7594	13561	8193	10756
GNPTAB	1199	1807	1391	1677	1199	1807
SPSB2	211	204	167	201	211	204
ENO2	1626	925	1533	1251	1626	925
ATN1	5679	4945	4815	4763	5679	4945
C12orf57	638	414	784	769	638	414
PTPN6	6676	6084	6008	6421	6676	6084
LPCAT3	567	497	409	528	567	497
NT5DC3	257	299	399	373	257	299
SLCO1B3	1	1	6	2	1	1
APOBEC1	21	63	4	37	21	63
NANOG	7	3	9	13	7	3
SUDS3	1535	1676	1523	1550	1535	1676
GOLT1B	1084	1612	693	1165	1084	1612
GYS2	0	0	0	0	0	0
LDHB	718	449	735	1069	718	449
PRKAB1	1216	1154	1244	1196	1216	1154
HCFC2	534	592	501	591	534	592
ST8SIA1	528	200	468	312	528	200
CLEC4A	19	123	28	47	19	123
C2CD5	1546	1591	1825	1889	1546	1591
AICDA	718	67	490	82	718	67
RAB35	2298	2559	1760	2230	2298	2559
PHC1	1438	1427	2163	1986	1438	1427
RFX4	1	0	0	0	1	0
RIC8B	588	482	519	450	588	482
FGFR1OP2	1960	1827	1647	1935	1960	1827
KLRB1	537	319	664	539	537	319
COL12A1	2756	4100	2223	3297	1362	1592
BTN3A3	2275	2066	1938	1868	2387	3307
FRK	219	433	177	266	187	266
DSE	1177	4145	844	1951	854	1951
RWDD1	1504	1108	1419	1674	1429	1674
RSPH4A	36	29	24	19	34	19
MAK	56	118	51	80	38	43
TMEM14C	1559	1211	1883	2112	2060	1918
PAK1IP1	717	639	297	562	396	565
GCNT2	363	369	387	276	459	312
SMIM8	287	197	233	225	249	227
NEDD9	1456	2889	1235	1221	1489	1526
CEP85L	760	391	927	720	937	720
ADTRP	871	1088	724	1583	998	698
ASF1A	802	448	463	439	473	439
MCM9	445	415	495	476	505	476
FAM184A	172	63	156	158	166	158
RNGTT	1319	839	1075	867	990	980
MAN1A1	2822	4610	2712	3038	2722	3038
GABRR2	143	259	181	248	103	140
SERINC1	6001	8439	4736	5178	4746	5178
HDDC2	1084	722	957	1006	967	1006
TPD52L1	561	278	363	336	373	336
NCOA7	1754	3186	1521	2457	1531	2457
RIPOR2	3881	4443	4753	4762	3518	4864
SASH1	732	1010	740	862	750	862
ULBP1	10	23	10	14	20	14
FBXO5	605	295	428	471	438	471
MTRF1L	502	661	432	588	442	588
PPARD	1826	2366	1644	1955	2000	1743
OPRM1	32	11	10	15	20	15
FANCE	293	186	285	271	256	277
TULP1	3	5	5	8	6	3
SLC26A8	11	71	28	78	18	5
MAPK14	1991	3477	2156	2957	1827	2167
RHAG	1	0	0	0	6	1
KCTD20	2177	3444	2078	2389	1731	2341
STK38	2724	3090	3110	3103	3375	3196
SRSF3	9089	8041	6981	9017	8583	8894
SOD2	14084	117835	8500	26870	8510	26870
MRPL18	1329	1282	1193	1623	1203	1623
IL17A	10	82	6	45	8	82
IL17F	4	21	7	4	0	6
MCM3	3726	2372	2968	3539	3686	3710
RNF8	523	367	446	501	522	501
PHACTR1	822	2943	638	816	844	810
MDGA1	442	261	603	384	504	518
CILK1	666	686	631	525	467	537
FBXO9	2085	1835	1941	1989	1758	2181
CD83	2453	2486	1443	1136	3600	3284
MDN1	1420	1351	1342	1388	1532	1609
GLP1R	4	6	4	6	2	4
SAYSD1	434	304	415	474	430	398
BMP5	195	270	203	129	198	89
BACH2	2134	403	2638	865	1591	1264
RBM24	97	197	124	65	51	76
CAP2	489	611	421	425	229	352
TREML2	346	1141	391	401	340	563
ZNF451	1072	1012	1074	1063	1004	1126
RAB23	458	776	323	456	223	414
TSPO2	0	1	3	1	3	4
FHL5	69	79	184	53	53	80
GPR63	70	65	90	73	97	75
KHDRBS2	45	9	38	27	51	33
FBXL4	586	547	529	471	491	540
CCNC	1419	1253	1013	1350	1133	1307
PRDM13	1	1	0	0	0	0
E2F3	783	1637	670	929	670	888
PTP4A1	3	7	7	12	7	4
SIM1	1	1	1	1	0	0
ASCC3	1074	1612	706	1070	632	1032
HDGFL1	0	0	0	0	0	0
BVES	231	440	168	177	144	193
COL9A1	22	9	44	31	59	22
MED23	1203	1228	1288	1359	1298	1359
WASF1	313	260	260	262	270	262
GPLD1	101	31	114	49	64	62
ALDH5A1	969	383	933	488	980	884
CRYBG1	2026	2606	2305	2448	2269	2345
VNN1	231	1138	311	1013	321	1013
VNN2	1190	2661	850	1259	860	1259
ACOT13	494	546	553	572	521	561
SMAP1	380	430	265	358	282	285
C6orf62	5231	5184	3273	3788	3907	4546
B3GAT2	26	43	44	66	47	63
GMNN	682	514	635	736	681	546
EYA4	6	8	2	4	12	4
SOBP	503	441	432	363	305	263
NR2E1	0	2	2	1	0	1
SNX3	5498	4676	4398	5148	4444	5245
SLC17A2	0	0	0	0	0	0
HBS1L	1399	1301	912	1252	922	1252
TRIM38	2539	2706	2290	2286	2352	2468
PEX7	151	117	132	202	142	202
ZBTB24	655	557	542	586	607	802
FIG4	648	617	741	792	672	844
PERP	908	2343	1074	2007	1084	2007
SLC16A10	127	529	90	265	100	265
ADGRG6	379	679	414	460	424	460
PHACTR2	852	1275	635	834	645	834
EPM2A	424	252	333	343	343	343
OR12D3	0	0	0	0	0	0
SLC39A7	2799	3966	2103	4096	2754	2806
CCR6	29	20	56	20	66	20
UNC93A	0	0	3	1	13	1
SLC22A2	0	0	0	1	10	1
PHF1	2401	1626	2897	2048	2897	2916
CUTA	1822	1081	2106	2425	2920	2387
PACRG	8	2	16	9	26	9
QKI	3397	6040	2563	3398	2573	3398
C6orf118	1	0	0	0	10	0
PDE10A	140	304	137	157	147	157
MDFI	283	414	233	511	218	261
TFEB	1461	960	1640	1392	2039	1744
SMOC2	1887	712	1741	1621	1751	1621
CCND3	3854	2026	3997	3575	4604	4825
FAM120B	1180	1154	996	1127	1006	1127
TBP	619	471	533	571	543	571
GUCA1B	75	55	141	108	171	151
PRPH2	80	92	56	42	35	36
BICRAL	1030	992	1076	788	988	1031
PPP2R5D	1004	788	813	911	705	823
MRPL2	166	126	189	220	233	207
PTK7	926	1356	781	1303	753	906
SRF	3107	3829	2279	2786	2526	2732
CUL9	1058	842	1677	1606	1786	1911
DNPH1	773	470	993	1501	1636	1363
DUSP22	2039	1408	2068	1914	1804	1996
EXOC2	1050	1029	983	1057	953	1240
COX7A2	2425	2391	2299	3925	3233	2950
TMEM30A	3821	6992	2891	4327	2929	3514
GMDS	1744	2929	1870	3279	2633	2067
SENP6	2636	2842	2316	2192	2219	2646
IMPG1	5	11	16	13	11	9
VEGFA	2703	13658	2670	3743	2519	1710
PRPF4B	3335	3618	3321	3881	2974	4019
TTK	384	263	251	441	317	337
SLC29A1	1292	1152	1604	1588	1397	1426
CCN6	5	3	5	9	15	9
BTN2A1	1560	2119	1702	1788	1818	2104
LAMA4	2176	4545	2805	4123	2815	4123
TENT5A	1147	1201	1075	635	901	614
CLIC5	547	1069	573	829	969	436
FBRSL1	2756	1952	3147	2738	3238	3227
ENPP5	63	53	92	62	70	70
LY86	860	313	700	722	978	898
PRSS16	88	157	135	133	198	119
MEP1A	985	829	1438	1367	3228	387
ERBIN	3050	4511	2450	2527	2934	3085
PCDHB2	68	37	26	24	35	36
HARS2	1054	967	1099	1296	1173	1291
NUDT12	353	547	267	375	243	248
CEP72	145	88	129	152	159	142
MAN2A1	1686	2225	1702	2129	1509	1936
SEMA5A	670	414	648	632	930	733
C7	8160	478	9104	977	3852	3234
TENT4A	1343	1159	1370	1365	1507	1623
GHR	220	132	215	87	149	152
HMGCS1	1276	3461	778	1652	932	1221
DAP	2620	3212	2394	3110	2618	2830
NME5	27	20	47	37	20	33
BRD8	1665	1425	1770	1963	1832	2009
KIF20A	459	314	428	710	367	384
NNT	1642	1509	1316	1631	1281	1609
MRPS30	850	765	626	793	693	817
HSPA9	7289	8104	4243	6742	5289	6270
MRPS27	1783	1416	1298	1348	1485	1490
PFDN1	926	912	867	1099	996	995
HBEGF	415	2236	417	684	418	311
SLC4A9	0	9	3	4	7	2
LOX	346	1079	442	969	266	494
GZMK	285	146	175	99	97	141
CDH9	2	1	1	2	0	1
APBB3	869	777	1126	1075	1184	1195
TMCO6	442	376	448	454	555	546
SPARC	18375	27460	16386	33891	14887	17803
HMGCR	1156	3078	1001	2116	1161	1256
CERT1	1338	2218	1652	1933	1349	1440
FAF2	1448	1989	1182	1472	1236	1429
HAND1	321	153	380	200	235	119
PCDHB3	99	67	31	31	50	54
PCDHB5	54	58	42	42	66	61
PCDHB6	41	37	25	24	16	19
PCDHB7	91	68	32	46	47	41
PDE8B	70	62	68	45	75	50
PCDHB15	191	120	120	89	77	128
HAVCR1	3	8	11	13	11	10
ITK	1285	589	1861	1436	1426	2245
RNF130	1853	3093	2182	3180	1829	2554
THG1L	466	369	506	499	619	544
ARSB	576	1254	380	616	308	515
CLINT1	3701	4744	2960	3831	2827	3315
THBS4	72	257	54	618	33	55
CNOT6	1001	1298	825	994	998	1107
IL12B	32	13	6	8	23	12
BTNL8	318	629	345	669	234	34
TTC1	1604	1423	1239	1612	1567	1599
RASGRF2	523	460	351	393	425	557
GABRG2	51	23	10	15	20	12
CCNG1	2596	1560	2123	1958	2123	2043
POLR3G	161	159	97	149	109	127
DROSHA	1215	1407	1286	1444	1463	1565
CDH6	259	249	125	128	125	109
LMNB1	3525	4023	2057	2824	2464	2611
ARRDC3	2326	4185	2002	1741	1671	1886
GOLPH3	3319	3417	2356	2870	2437	2678
SUB1	3868	4173	2512	5163	3434	4487
NPR3	70	38	49	25	58	44
FAM172A	606	728	488	491	460	551
SLC27A6	68	12	44	20	50	30
TARS1	2252	3368	1260	2552	1567	2116
IRX4	1	3	2	1	17	7
LNPEP	4033	2442	2869	2298	3442	3568
PDE4D	728	1434	536	675	532	592
BRIX1	886	749	487	737	692	771
AGXT2	0	0	0	0	0	0
PRLR	137	94	135	92	106	55
SLC12A7	2585	2929	2481	2934	2709	2581
IL4	3	2	3	1	5	5
RAD50	38	75	64	100	72	65
IL5	0	1	0	2	1	1
ST8SIA4	1285	2085	869	1364	921	1341
GNPDA1	1139	1616	1088	1797	975	1338
PCDH12	326	470	209	437	250	306
SKP1	4427	3813	3463	4143	4007	4223
NUP155	923	915	589	770	665	854
PPP2CA	3958	4031	2748	3384	3199	3220
FGF1	89	202	53	62	66	46
NR3C1	2421	2829	2328	1944	2058	2189
PPWD1	1603	1085	1314	1248	1487	1645
LIFR	1212	498	1808	424	1279	1059
TRIM23	376	439	443	409	312	376
TRAPPC13	723	682	464	579	555	642
SEC24A	965	1965	633	1137	574	832
TXNDC15	2066	1712	1177	1513	1248	1614
TTC33	530	557	441	468	419	477
RARS1	1985	2376	1149	2037	1527	1778
WWC1	231	576	253	389	276	175
MACROH2A1	5549	5245	4620	6210	5586	5694
TCERG1	2320	2234	2137	2267	2248	2539
DPYSL3	6297	9588	3882	6927	3471	5106
SMAD5	1200	1447	1152	1286	890	1017
CSNK1A1	2114	3526	1499	2161	1499	1919
HMGXB3	1152	1553	1251	1631	1242	1350
ERGIC1	4071	5124	4215	5346	4150	3659
PDGFRB	2803	5138	4087	4337	2252	2926
CDX1	904	1325	938	1466	1360	652
ATP6V0E1	2675	3347	2780	4293	3435	3624
BNIP1	232	204	180	250	239	265
STC2	114	420	141	367	82	106
CPEB4	747	2309	683	1316	552	835
HRH2	460	1369	508	1218	316	734
DBN1	1733	2401	1306	2152	1300	1452
ZNF346	456	272	433	454	469	443
UNC5A	22	32	14	34	23	35
EHHADH	282	403	430	524	423	279
CNTN3	78	74	107	66	174	68
SMC4	1956	1767	1712	2225	1318	1563
TBCCD1	437	350	251	263	238	300
TIMMDC1	1500	1449	1300	1791	1534	1582
CRBN	1235	915	1210	1199	1167	1378
KNG1	13	13	9	8	8	5
HRG	1	0	0	1	0	1
BCL6	3839	9467	3267	5528	2781	1913
HGD	74	303	115	233	72	54
CLDN16	88	6	78	10	34	21
ARL6	255	214	147	178	127	167
NPHP3	366	256	636	489	414	411
CD86	708	1460	669	749	661	966
AMOTL2	719	912	594	459	657	652
NIT2	914	771	779	1011	992	998
OGG1	1075	49	1133	75	1357	102
PCCB	658	628	688	977	773	815
UBE3A	2220	2534	1995	2075	1841	1851
ARMC8	1349	1369	1052	1260	1119	1404
CEP70	375	223	392	322	369	317
RBP2	1	4	4	6	3	1
RBP1	341	193	443	341	489	343
SLC25A36	1442	1229	1640	1454	1579	1538
GRK7	5	5	3	0	0	5
RNF7	1035	1102	1024	1506	1335	1237
TFDP2	935	570	926	772	904	851
XRN1	1207	2482	1113	1207	1063	1347
KAT2B	1279	1294	1301	1001	1288	1411
BCHE	376	58	379	111	254	70
SERPINI2	5	0	3	1	5	3
PDCD10	1239	1325	922	1315	1022	1148
LRRC31	106	181	87	115	167	62
WNT5A	292	965	334	481	273	254
PFKFB4	143	552	203	433	191	249
COL7A1	419	4134	797	2897	696	594
FGF12	22	40	30	24	19	10
PRKAR2A	1506	2020	1069	1476	1150	1149
HES1	573	778	492	600	860	440
USP4	2336	2551	2082	2446	2319	2533
ACAP2	2472	3157	1883	2225	1882	2030
ECT2	611	935	481	976	457	593
GNAT1	0	0	0	0	0	3
GNAI2	12057	12402	10333	14098	11686	14637
TFG	2416	3366	1588	2364	1596	1884
USP9Y	1430	989	1541	1254	1541	1254
HYAL1	176	330	127	320	128	159
TUSC2	826	720	755	954	1009	1046
NPRL2	770	447	761	846	909	930
CYB561D2	386	381	335	544	452	517
C3orf14	206	213	132	171	82	93
FXR1	3183	2644	2655	2863	2704	2997
CBLB	1322	1317	1290	1356	1281	1540
BBX	1426	1387	1273	1202	1029	1236
GNB4	1064	1674	826	1194	726	1059
HHLA2	391	602	333	775	1074	275
IQCG	195	212	203	249	211	268
GBE1	838	1746	572	952	471	610
MORC1	0	0	3	0	1	0
UMPS	782	710	559	917	775	938
NCBP2	2523	2382	1855	2354	2439	2728
SNX4	1128	1096	887	1176	858	927
C3orf52	162	219	224	213	185	134
SLC41A3	832	549	1019	803	961	902
ROPN1B	6	3	5	2	9	3
PLXNA1	1512	2099	1555	2320	1627	2212
ABTB1	1514	2926	3098	3142	2591	2685
PODXL2	314	227	201	283	352	264
UPK1B	0	2	4	2	1	3
CSPG5	27	14	15	13	39	19
KLHL18	509	748	594	759	517	685
SCAP	2405	2273	2191	2568	2460	2155
EFCC1	217	179	222	147	234	149
CFAP92	42	69	48	65	45	54
NEK11	92	85	123	131	120	102
MRPL3	2088	1940	1274	2058	1436	1809
PLSCR4	858	810	664	522	499	416
HEMK1	856	710	1197	1137	1311	1373
CISH	549	1492	344	609	576	825
MAPKAPK3	1282	1653	956	1635	1251	1906
ACVR2B	171	189	287	210	206	198
WDR48	1347	1295	1689	1470	1434	1594
GORASP1	1563	1726	1626	1998	1873	1731
PEX5L	12	5	22	16	14	20
ABCC5	1269	1273	2211	2334	1603	1719
AADAC	5	17	1	2	4	0
ABHD14B	1275	648	1498	1457	1995	1477
ABHD14A-ACY1	0	0	2	1	0	0
ARHGEF26	333	199	320	183	296	205
KLHL24	1136	987	1517	1035	1226	1068
PLCH1	66	109	85	73	99	45
VIPR1	606	655	1007	1066	1711	904
DNAH1	623	423	1067	942	974	1053
SSR3	3424	4910	2029	3561	2038	2845
TNNC1	16	3	23	17	26	23
NKTR	4249	3100	6240	4929	5194	5731
CLCN2	248	330	267	365	405	160
FOXP1	3086	2203	1938	1556	2503	1965
EIF4G1	8480	13247	6692	10272	7020	9140
SPCS1	2133	1729	1823	2504	2281	2388
NEK4	550	541	460	515	380	519
SLC4A3	106	77	128	109	103	150
INO80D	1029	1060	999	1025	1022	1120
EEF1B2	11480	6725	11637	12934	14993	14892
ADAM23	317	172	194	133	329	252
DGUOK	845	656	730	906	1122	1009
MOB1A	7094	8470	4536	5292	5662	6575
KANSL3	1621	1780	2146	2061	2142	2210
LMAN2L	549	439	491	476	527	481
RTKN	503	515	535	578	617	349
TTL	1217	1440	1077	1249	1045	1115
IL1A	20	15610	24	11400	27	25000
CCL20	343	850	584	719	730	563
PIKFYVE	1686	1780	1640	1665	1482	1961
FAHD2A	673	400	721	838	896	819
ACTR1B	2160	1392	1900	2028	2238	2288
SLC35F5	2250	2905	1669	1919	1822	1719
ZAP70	4463	1281	3333	3537	4956	6698
ACTR3	15072	19417	7762	11333	10156	12660
STEAP3	499	707	325	601	412	223
EPB41L5	372	486	444	404	493	371
TFCP2L1	480	796	842	916	1100	409
SF3B6	1388	1407	1120	1582	1553	1384
TP53I3	509	912	715	1558	1183	797
DNAJC27	247	235	272	233	266	247
POMC	82	54	91	98	105	95
STAM2	1099	1662	902	1085	841	1019
OTOF	43	20	36	40	33	33
GPD2	811	1660	784	1107	856	818
CENPA	230	96	222	333	246	217
CYTIP	2448	2304	2832	3211	2079	3205
ACVR1	745	1288	550	790	480	648
TANC1	688	963	849	878	762	801
SLC30A3	8	4	13	9	5	13
MPV17	1321	1003	1338	1719	1530	1799
GTF3C2	1430	1235	1249	1403	1569	1650
EIF2B4	1075	845	1038	1273	1162	1303
NRBP1	2993	3245	2642	3220	2692	3082
ITGB6	168	465	168	285	281	112
FNDC4	87	121	83	171	85	86
ITGA4	1878	2228	1873	2803	1805	3191
PSMD14	1605	1987	893	1649	1133	1514
SNX17	3142	2630	2515	3370	3334	3759
ASB3	617	480	554	507	556	614
PPM1G	3531	2889	2817	3884	3914	3605
PDE1A	336	244	489	321	247	209
REEP6	50	48	80	72	105	77
PCSK4	72	45	103	71	139	97
GCG	37	151	77	89	18	10
APC2	224	90	103	53	108	97
IFIH1	922	2129	802	785	916	1234
RPS15	11278	6379	14012	14589	19825	16597
GCA	1368	5179	1201	2930	1212	1732
TTC31	1190	859	1262	1322	1257	1400
NDUFS7	679	428	749	936	951	775
PCGF1	318	309	356	435	423	419
GRB14	51	29	46	18	40	21
CLIP4	803	759	870	858	603	812
SPTBN1	6543	7333	6180	6718	6371	6199
AUP1	3410	2893	3389	3845	3846	3827
RTN4	7698	11824	5554	8965	5992	7190
HTRA2	690	539	686	879	800	887
LOXL3	241	340	306	401	280	426
DOK1	607	547	763	907	1024	1085
GALNT3	717	1692	485	806	580	495
POLE4	721	512	674	954	976	975
TACR1	122	103	121	69	159	254
CCDC88A	2204	1820	1594	1337	1316	1576
ACADL	7	3	9	4	6	3
EVA1A	24	75	18	125	30	58
MRPL19	853	907	647	1025	683	812
LANCL1	1447	1077	1377	1255	1396	1536
WDR75	1402	1335	1093	1314	1212	1456
EFEMP1	3744	3637	2267	2733	1555	2639
REG1A	4135	42879	4	4007	186	1071
FANCL	416	391	434	384	465	455
FN1	7002	30104	9697	40053	4873	9264
STAT1	5849	15869	3086	5365	4940	11441
GLS	4374	5003	3129	3513	3299	4234
PAPOLG	746	823	599	617	485	611
DNAH6	29	9	24	13	33	25
PECR	193	142	203	314	258	240
UNC50	889	830	808	953	846	1030
IGFBP2	1443	1522	1941	2378	2354	1334
ELMOD3	695	650	854	837	861	923
IGFBP5	19399	32594	26054	15360	10197	10029
USP34	1049	1675	1722	1793	1224	1534
EFHD1	175	197	182	103	130	129
KCNJ13	6	6	1	1	3	2
CCT4	3945	3564	2445	3307	2748	3428
GGCX	799	1045	906	1107	741	970
NEU2	0	0	0	0	0	0
EHBP1	847	951	914	771	687	730
OTX1	0	3	0	3	2	0
TXNDC9	714	789	453	693	540	611
COQ10B	877	1513	497	746	531	644
GNLY	260	390	164	232	307	671
SF3B1	10265	12276	13382	13185	11601	13906
ST3GAL5	991	740	1076	817	1028	1571
CHST10	220	207	216	222	213	243
PDCL3	743	705	468	736	686	713
MOB4	762	906	368	558	512	584
HSPE1	1146	1051	1861	1396	1177	1234
KDM3A	1199	2159	1762	1537	1504	1586
PLCD4	151	116	315	140	227	155
CHMP3	1687	1787	1317	1566	1609	1577
ZNF142	576	549	702	648	614	714
IL1R2	178	2871	336	1334	291	160
PRKAG3	0	0	2	1	2	0
SMYD1	5	13	56	18	99	26
IL1R1	3538	8522	2908	6098	1954	3310
WNT6	49	15	86	31	60	25
IL1RL2	11	53	16	37	27	15
IL1RL1	92	579	45	110	17	22
IL18R1	357	932	258	651	389	698
IL18RAP	106	1295	126	506	114	197
SLC9A2	349	541	535	480	733	258
FHL2	1147	1887	847	1375	902	811
MLPH	380	1010	243	715	478	262
CNPPD1	2019	1652	2237	2408	2953	2445
UXS1	1203	1091	889	1163	1019	1297
ABCB6	111	74	110	118	71	93
STK16	609	470	750	905	1006	945
SLC5A7	55	77	27	26	35	16
HDLBP	8282	13706	7606	11294	8407	9422
PPP1R7	1745	1362	1487	1876	2051	1881
PASK	1676	797	1897	1564	2638	3090
STK25	2664	2114	2772	3014	3403	3129
TPO	61	20	66	50	124	153
PROC	10	8	18	19	45	30
TAF1B	332	375	219	257	183	285
HPCAL1	1680	2067	2023	2487	2419	2053
ODC1	5503	3613	3325	3529	4814	4163
BIRC6	2421	2566	2100	2344	2144	2448
NOL10	713	791	441	682	508	644
PLEKHB2	2977	6699	2399	4425	2631	3244
GORASP2	2658	2897	1596	2133	1968	2368
STRN	1010	1379	1031	1278	919	943
PRKD3	2011	1503	1804	1554	1713	1673
DCAF17	596	582	568	591	507	672
QPCT	333	862	407	623	427	461
RAB3GAP1	1871	2146	1872	1871	1827	2132
SLC25A12	953	726	836	946	767	897
RMDN2	256	221	262	271	291	181
LCT	7	7	5	7	2	3
DARS1	2638	2309	1904	2131	1871	2165
SRSF7	6144	4214	5134	5443	6017	6818
SDC1	1253	1780	1143	1563	1529	1034
PLCL1	267	225	296	244	204	216
SLC1A4	1172	800	1086	1123	1055	1007
SOS1	2177	1999	2132	1868	1899	2136
KYNU	402	1202	425	644	325	611
WIPF1	8026	8268	6455	6520	6754	8234
ORC2	1017	1028	1012	1023	991	1088
COX7A2L	1990	1573	1717	2129	2232	2167
PNO1	767	873	318	455	396	542
ORC4	788	741	728	745	669	736
PLEK	4589	27033	4158	9406	4221	5925
RND3	1190	2935	775	1309	719	680
ATF2	1406	1560	1082	1202	991	1215
THADA	793	860	841	1092	836	954
AAK1	1997	1719	1292	1540	1608	2200
TRAK2	1487	1862	1620	1597	1272	1350
C2orf42	446	333	304	307	342	361
TIA1	3479	2815	3623	3320	3398	3730
PCYOX1	1040	1281	1594	1317	1000	1033
KISS1R	12	11	9	18	10	14
EPAS1	5838	13148	5996	7102	4932	5355
ARID3A	726	1279	578	1030	860	954
SUMO1	2704	2256	2117	2888	2936	2800
CD207	47	9	82	6	72	18
GRIN3B	135	61	45	59	135	219
VAX2	5	6	5	13	8	4
ATP6V1B1	1	0	2	5	1	1
NFE2L2	3378	5920	2246	2790	2145	2385
MSH6	2061	1704	1771	1614	1635	1798
PLEKHA3	910	894	582	624	621	676
SPR	389	500	477	747	608	387
EPHA4	249	232	329	266	260	257
PARD3B	313	271	408	266	339	291
FARSB	1484	1451	922	1469	1167	1241
ALMS1	467	489	464	511	402	428
BCL9	724	844	675	574	559	662
PRRX1	892	3092	758	1527	609	1067
DHCR24	1357	3109	1076	3181	1631	1453
MARK1	279	286	256	190	207	239
TNR	11	12	17	33	27	28
MORN1	111	112	169	186	180	183
CACYBP	2710	2049	1693	2272	2021	2356
SCP2	3508	2828	2643	3546	3039	2972
TPSG1	77	91	73	117	116	51
PAPPA2	65	52	20	14	31	42
RALGPS2	2470	1213	2772	2006	2511	2468
ANGPTL1	525	250	455	340	253	202
CEP104	739	942	978	1120	888	987
FAM20B	1268	1515	958	938	980	979
TMEM59	4753	4341	4832	5217	5871	4533
LRRC42	491	444	403	537	483	468
WRAP73	835	695	896	1077	1008	1144
NPHS2	0	2	0	7	4	6
MRPL37	1471	1114	1275	2054	1848	1708
ICMT	1989	2684	1397	2362	1512	1739
CHD5	97	49	64	26	72	40
QSOX1	2869	7465	2708	5844	2695	2938
STXBP3	1712	2199	1362	1668	1297	1511
ERRFI1	785	2681	1321	2101	1016	782
PARK7	4299	3513	3801	5538	5009	5061
ELAPOR1	1026	1389	953	1062	1139	846
AMPD2	1352	2710	1375	2091	1558	2189
SRSF4	4885	4328	4263	4913	4926	4842
MECR	360	295	339	464	425	411
KCNC4	479	420	592	494	493	434
EDEM3	1525	2811	1191	1924	1075	1241
WDR77	862	631	657	842	832	924
RAP1A	4402	4771	3085	4163	3735	4402
HDAC1	6631	5091	5474	6125	7398	6492
CAPZA1	9169	10352	5328	6662	5994	6790
S100PBP	1153	806	1438	1152	1318	1460
RNF19B	1401	4592	990	1603	1216	1209
SCAMP3	1467	1274	1209	1655	1568	1653
TRIM62	329	301	274	286	336	376
ASH1L	1623	1768	1983	1817	1643	1834
DLGAP3	97	51	61	71	117	100
SFPQ	12817	9714	8065	8992	9629	10407
GON4L	2286	2176	2239	2609	2572	2694
ARHGEF2	4177	6193	4160	4515	4617	4847
LAMTOR2	681	641	750	1090	1036	1015
MEF2D	3134	3421	2584	2303	2905	3031
DOCK7	781	1109	799	881	652	692
SRM	1842	1947	971	1935	1407	1641
FBXO6	308	418	257	347	349	599
SWT1	217	478	209	203	162	196
MAD2L2	644	605	684	973	876	934
DNAJC6	159	117	88	64	84	50
LEPR	277	434	369	247	251	300
IVNS1ABP	3292	32558	4164	8029	3903	4689
KIAA2013	1969	1754	1943	2460	2532	1967
MFN2	2385	3301	2401	3356	2529	2634
PRG4	103	108	83	114	34	128
MIIP	821	693	806	1042	976	1090
SMG7	1924	2625	2272	2309	2180	2037
NCF2	749	11331	1236	4572	744	1491
PDC	4	1	1	0	0	2
SLC35D1	832	1556	867	1151	1069	776
PLA2G4A	391	401	225	256	192	235
GADD45A	599	594	959	1438	906	699
PRAMEF1	1	0	0	0	0	0
PRAMEF12	1	0	0	0	0	0
WLS	1552	1402	1599	1717	1543	1061
PRDM2	1653	1964	2225	1906	1873	2229
RGS2	1690	6405	4291	6643	1971	2298
RPE65	4	1	5	1	3	0
RO60	1112	1181	693	690	547	749
AMPD1	10	0	32	9	18	19
UCHL5	1054	1078	702	958	715	994
SRSF11	7021	5546	7816	7665	7557	8217
CTH	66	80	58	61	78	33
OLFML3	1308	665	1550	1162	1242	1243
TNNI3K	0	1	1	0	2	3
CFHR3	82	22	45	32	18	37
PLEKHM2	2443	2775	2264	2673	2325	2610
CRYZ	1080	718	948	953	823	918
PHTF1	472	789	371	644	385	493
ZBTB17	887	1003	1026	1304	1332	1286
CD58	425	1068	352	627	374	437
TFAP2E	72	43	92	96	121	122
CD2	2175	891	1283	1449	2153	2871
TTF2	705	689	725	960	781	922
NR5A2	298	652	323	391	397	272
KIF21B	1292	1179	1964	2372	1946	2447
TMEM9	865	644	1085	1264	997	836
ADPRS	656	620	659	804	797	789
MAP7D1	4423	6013	3337	5373	3626	4617
WARS2	295	281	353	364	394	369
HAO2	5	1	1	3	13	9
OSCP1	68	69	83	99	94	73
EXOC8	505	753	440	575	420	508
GNPAT	1589	1232	1421	1572	1391	1646
C1orf109	447	419	395	452	409	480
RRAGC	636	958	556	737	619	592
NID1	3238	6213	5998	5238	1701	2564
LGALS8	1423	2343	1399	1832	1366	1605
NT5C1A	0	0	9	1	1	1
HPCAL4	81	32	88	77	49	70
MTR	1483	1414	1688	1394	1287	1585
BMP8B	142	207	177	267	283	221
MYCL	287	247	239	204	383	468
SIPA1L2	544	1232	655	1098	633	515
ZP4	0	0	0	0	0	0
RLF	756	1465	752	855	654	797
KMO	273	236	273	252	282	375
ZNF684	195	123	141	142	157	178
KCNQ4	113	114	118	97	79	109
RIMS3	275	269	303	366	368	320
AKT3	859	1493	951	1104	629	907
ETV3	907	1730	725	947	875	1077
ACADM	2230	1208	1708	1566	1704	1522
ST6GALNAC5	291	728	115	363	82	256
SLAMF1	879	706	652	715	1028	1317
CD48	2308	1760	1831	1947	2779	3581
ADGRL2	847	1535	863	893	612	736
